site,title,title_en,year,reviewer,review,review_length,rating
watcha,체인소 맨,Chainsaw Man,2022,P1,이기 므꼬? 즈인공한테 사명감도 없고 이게 참말이가? 뭔 쪼다자슥이 이상한 생각하고 피만 튀기면 재밌다카드나?,61,2.5
watcha,체인소 맨,Chainsaw Man,2022,진태,진짜 ㄹㅇ 기대 중..,12,4.0
watcha,체인소 맨,Chainsaw Man,2022,백성욱,본능에만 충실한 주인공도 나름 새롭다.,21,3.5
watcha,체인소 맨,Chainsaw Man,2022,주령,"호들갑의 악마 ‘완전 young하고, MZ한데요?‘  스스로의 호들갑을 증명하기까지 걸린 12화의 시간  마파의 10년을 책임질 작품인지는 잘 모르겠지만, 적어도 후속작이 나오면 ‘나왔네?’ 하고 기대할 것 같긴 하다.",122,4.0
watcha,체인소 맨,Chainsaw Man,2022,다솜땅,이 이상한 정신병 이야기에 귀가 솔깃 해진다. 잃을것을 다 잃은 자들의 발버둥과 파괴자들의 이유아닌 이유. 사춘기를 갓 지난 소년의 호기심과 실적!! 기준 나쁘지만 통쾌하기도 해!!! #25.1.16 (29) #총의 악마를 향하여,128,4.0
watcha,체인소 맨,Chainsaw Man,2022,박경민,포치타가 참 귀여웠는데...,15,3.5
watcha,체인소 맨,Chainsaw Man,2022,세훈,내 기준으로 한동안 끊어진 일본애니의 재미를 재확인 시켜준 작품,35,4.5
watcha,체인소 맨,Chainsaw Man,2022,SH,전개 양상이 주술회전과 비슷한 느낌,19,5.0
watcha,체인소 맨,Chainsaw Man,2022,김아무개,감각적인 오프닝과 엔딩 감각적인 음악 감각적인 카메라와 디테일한 연출 충분히 5점. 다분히 성적인 전개와 대사들 여러모로 집착적이고 나와는 결이 다르지만 동시에 매우 뛰어난 작품.,100,3.5
watcha,체인소 맨,Chainsaw Man,2022,본쿠,빵에 잼 바르고 rest in peace 까지 가자고!!,31,0.5
watcha,체인소 맨,Chainsaw Man,2022,감성적인너구리,가끔은 쌩뚱 맞아도 결국엔 완벽한 오락으로 보답하고 증명시키는 탁월한 애니.,42,3.5
watcha,체인소 맨,Chainsaw Man,2022,이다인,가슴만지고싶다고계속얘기하는주인공을 견디면서까지 보고싶지않음 누군가에게 체인소맨 좋아한다고말하면 쪽팔릴것같음,59,1.5
watcha,체인소 맨,Chainsaw Man,2022,RAW,1분간 타들어가는 연초를 피기 위해 1439분 지옥을 맴도는 개들의 몸부림 3.7/5점  파이어 펀치보다는 잘 다듬어진 정식 요리 라는 인상을 받는다.,84,1.5
watcha,체인소 맨,Chainsaw Man,2022,무면,부탁해요 체인소맨. 애니화라는 자신의 입장을 망각한채 자기 주제에 맞지 않는 자기만족으로 가득찬 욕심만 부리며 보는 팬들을 고통스럽게 만드는 체인소맨애니의 악마를 쳐먹어주세요 제발. 아 일단 오프닝은 남겨주시고.,118,3.0
watcha,체인소 맨,Chainsaw Man,2022,Dnjd,가슴 없으면 못 사냐?,12,4.5
watcha,체인소 맨,Chainsaw Man,2022,홀든 콜필드,"덴지의 욕망 넘치는 소박한 꿈은 그저 미끼에 불과할 뿐, 이 시리즈는 끝까지 보면 아주 치명적이다. 뭐 물론 덴지는 언제까지나 덴지이지만, 이 점이 정반대로 걸어가는 주인공의 면모로서 독특하고 똘끼 넘치는 강점이다. 딱히 주인공 같지도 않은 뭐랄까... 근데 또 아련하기도 하고.  이걸 공 들여서 애니로 만든다니 정말 반가웠다. 이 만화는 보면서 느낀 것이긴 하지만 진정한 코미디다. 미쳐 돌아갈 후반부가 정말 기대된다. 그럼에도 3D로 뚝딱 거리는 장면들, 특히 액션에서 실망하지 않을 수 없었다. 슬램덩크부터 해서 다 왜 이러냐. 3D에 왜 집착하는지. 그래도 장르가 코미디니까 액션 좀 후져도 재미는 있다.  그런데.. 개그 연출도 잘 못 살렸다. 뭔가 이 느낌이 아닌데, 무게 조절이 잘못 된 것 같다고 해야 되나 발랄해야 할때는 더 가볍게 통통 튀어야 되는데 그게 중점인데 어색하다.",444,4.0
watcha,체인소 맨,Chainsaw Man,2022,하늘바다인생,남자와 싸울때는 불알만 공격. 목표는 여자 가슴 주무르기. 새로운 목표는 섹스. 오래만에 몰입되는 애니를 만났다. 다음화를 내놔라 ^오^,76,3.5
watcha,체인소 맨,Chainsaw Man,2022,Keep,"누구나 내면엔 괴물이 있지  이봐 힘이란 건 진정한 힘을 차지하는 건  태어났을 때부터 가장 강하거나 가장 빠르거나 가장 똑똑한 자가 아냐  그걸 차지하는 건 그 힘을 얻으려고 뭐든지 다하는 자라고  from. 아케인, 실코",125,2.0
watcha,체인소 맨,Chainsaw Man,2022,괴무리,덴지는 시골쥐가 좋아 도시쥐가 좋아? 마카마 너무 멋있어,31,2.5
watcha,체인소 맨,Chainsaw Man,2022,olje,고어한 맛에 보는 건가...? 악마 썰어 버릴 때 쾌감...? 어디에서 재미를 느껴야하는지 모르겠다... 가슴 타령만하는 남주 공감이 안 간다... 힘들게 살아남아 원하는게 고작...? 포부가 없구나... 포치타?????가 귀엽다 그래서 2점  5회에서 하차,144,3.5
watcha,체인소 맨,Chainsaw Man,2022,조병주,"원작의 매력은 상당부분 생략과 비약을 통한 블랙코미디에 있다. 원작 만화는 시대 배경이나 인물의 목표, 사회적인 반영 등 이야기적 요소들을 깊게 파고들지 않는다. 그것을 반영하듯 캐릭터들은 아키를 제외하고는 피상적인 수준에 그치면서 드라마적 요소들을 축소시킨다. 특히나 덴지의 경우 물론 빚을 지고 근근이 살아가지만 행복의 기준도 없을뿐더러 오히려 자신의 상황을 자조적으로 받아들이는 바보다. 주인공이라기엔 목표의식도 흐릿하다. ‘평범한 삶’이라는 목표는 애초에 만화 전반적으로 크게 깔려있지 않고 오히려 ‘총의 악마를 죽이고 마키마의 가슴 한 번 만지는 것.’이 더 큰 목표인 것처럼 보이는 이상한 바보인 것이다. 이렇듯 깊이를 제거한 이 참을 수 없는 가벼움이 이 만화가 가진 강점이라고 생각한다. 그리고 이러한 가벼운 피상적인 세계가 의미와 깊이는 사라지고 실용성과 맹목성만이 남아가고 있는 현 시대에 대한 반영처럼 보여 흥미롭기도 했다. 그러나 애니는 시작부터 전통적인 드라마의 흐름을 따라가려 하고 있다. 덴지는 시작부터 비련의 남주인공으로 비춰지고 그를 뒷받침하듯 성숙한 목소리와 연기가 덴지를 설명하고 있다. 아키는 물론 극 중 가장 드라마가 깊은 인물이지만 동시에 일련의 사건들을 겪고 감정이 거세된 또 다른 이상한 인물이다. 그런데 아키 또한 첫 등장부터 자기 감정을 표현하기 급급하다. 그러면서 감정이 거세된 시니컬함에서 나오는 블랙코미디마저 드라마와의 미스매치로 흐지부지 사라져버린다. 결국 원작의 강점을 정 반대로 해석한 연출 상의 문제일 것이다. 하물며 원작 팬들이 바라던 ‘사운드와 역동성이 가미된 액션’ 마저도 허술하다. 3D의 활용이 문제가 아니라 그 이질감을 가리려는 노력이 안 보이는 게 문제다. 넓은 샷 위주로 액션을 만들어가는게 얼마나 어려운 일인지 새삼 느낄 수 있다. 그렇다면 드라마와 액션에서 모두 실패한 이 애니메이션의 장점은 무엇일까. 정답은 요네즈 켄시다. 결국 켄시의 오프닝만 남았다. 앞으로가 기대가 안 된다.",985,4.0
watcha,체인소 맨,Chainsaw Man,2022,임희봉,"피튀기는 액션과 정신나간 연출의 기묘한 조합, 선악의 경계를 무너뜨리는 안티히어로 주인공의 탄생!",54,5.0
watcha,체인소 맨,Chainsaw Man,2022,ㅠㄹ,"친구의 추천으로 기대 안하고 틀었는데, 이게 왠걸? 이상한 것들은 다 때려박은 거 같은데 재밌다.",54,3.5
watcha,체인소 맨,Chainsaw Man,2022,Costco™,처음으로 끝까지 다 본 애니.  왜 이렇게들 애니를 좋아하시는지 이제야 알겠네요 ㅜ 내시간 돌려내,54,3.5
watcha,체인소 맨,Chainsaw Man,2022,KIdo,체인쏘! 체인쏘! 체인쏘! 체인쏘! 체인쏘! 체인쏘! 체인쏘! 체인쏘! 체인쏘! 체인쏘! 체인쏘! 체인쏘! 체인쏘맨 체인쏘맨 체인쏘 체인쏘 첸소맨 체인쏘맨 체인쏘맨 체인쏘 체인쏘 첸소맨 체인쏘맨 체인쏘맨 체인쏘 체인쏘 첸소맨 체인쏘맨 체인쏘맨 체인쏘 체인쏘 첸소맨 체인쏘맨 체인쏘맨 체인쏘 체인쏘 첸소맨 체인쏘맨 체인쏘맨 체인쏘 체인쏘 첸소맨 체인쏘맨 체인쏘맨 체인쏘 체인쏘 첸소맨 체인쏘맨 체인쏘맨 체인쏘 체인쏘 첸소맨 체인쏘!체인쏘! 체체체체체체체인쏘!!!!!!!!!,263,4.0
watcha,체인소 맨,Chainsaw Man,2022,미래영화감독,뒤를 돌아보지 않고 나아가기 때문에 장점과 단점이 모두 공존한다.,36,4.0
watcha,체인소 맨,Chainsaw Man,2022,영화 볼 결심,원작의 B급 느낌을 반도 못 살렸다지만 그래도 애니의 단점들을 뚫고 나오는 원작 자체의 매력,51,0.5
watcha,체인소 맨,Chainsaw Man,2022,대중과는 다른 감각의 영알못,이런 주인공 너무 신선해서 좋은걸. 사연 많고 책임감과 사명에 진중하고 결의에 찬 흔해빠진 캐릭터가 아닌 한없니 가벼운 성욕 충만 제멋대로인 주인공이라! 뭐 물론 앞으로 어떻게 바뀔지 모르겠지만.  무튼 그래서 흔하디 흔한 배틀애니와는 상당히 다른 신선함이 있어 상당히 볼만했다.,156,4.0
watcha,체인소 맨,Chainsaw Man,2022,노바피디,피 튀기고 시원하고 통쾌한 액션이 볼만하지만 이미 다른 애니에서도 너무 많이 쓰여 익숙한 세계관 설정 때문에 신선함은 덜하다,69,3.5
watcha,체인소 맨,Chainsaw Man,2022,Eurekwak,아직도 여자 가슴에 환장하는 유치뽕짝 스토리 일본애니는 발전이 없냐 시간아깝다 5화에서 손절 친다,54,4.0
watcha,체인소 맨,Chainsaw Man,2022,_9dong,"원작 1부까지 보고 애니 스타트 하길 잘했다. 마키마의 모든 게 다르게 느껴지고 수긍하게 된다. 덴지, 아키 특히 파워 성우는 완벽 그 자체. 마키마 성우는 살짝 아쉽다ㅠㅠ 위압감 한 스푼만 넣어주지.",112,5.0
watcha,체인소 맨,Chainsaw Man,2022,BIGMAC_bro,"액션을 빙자한 사춘기 소년의 성과 사랑?! ㅋㅋ 작화와 액션이 마음에 든다.  사실 캐릭터에 대한 애정이나 서사가 대단하게 마음에 드는 것도 아니고 꽤 심플한데,  전기톱으로 썰어버리는 호쾌한 액션이나 악마를 전혀 무서워하지 않는 주인공의 성격이 열혈의 느낌이 들어서 좋다.  애꾸눈 선배가 아키를 지키려고 악마에게 온 몸을 넘긴 장면에서 살짝 뭉클했음.  삶의 목표가 하찮아 보인다고 해서 그 사람이 진지하지 않게 살아가는 것이 아니지 (..라고 하기엔 주인공이 너무 가슴을 밝힘 -_-)  나쁘지 않게 볼만한데 아직은 세계관 이라던지, 설정에 대한 것들을 보여준게 별로 없어서 이후 시리즈들을 쭉 지켜봐야 할듯.",344,4.0
watcha,체인소 맨,Chainsaw Man,2022,lilin🪽,"아스트랄한 디자인과 호쾌한 액션, 해체주의적 전개로 파격적이면 시원시원한 판타지액션물임과 동시에, 신랄한 유머코드를 마음껏 드러낸 b급 코미디로서도 최상급으로 개인적으로 진격거와 함께 올해 최고의 애니가 되지 않을까싶다",122,3.0
watcha,체인소 맨,Chainsaw Man,2022,Serendipity,"(원작 안보고 애니만 봄) 나는 뇌구조가 단순한지 그냥 신나게 살육하는게 너무 재미있었다 ㅋㅋㅋㅋㅋ 하... 완결 나고 봐야했는데 9화까지 나온상태서 순식간에 달려버렸다 매주에 한편씩 보는게 못참는데..  처음에 가슴타령 스킨쉽 타령하길래 왜저래 했는데 주인공의 성장사를 보면 그럴 수 있다고 생각함 (물론 애니니까) 포치타한테도 그정도로 사랑과 애정을 품은거 보면 성장 과정에서 모성애 같은 애정을 못느껴봐서 그냥 보들보들하고 귀엽고 말랑말랑하고 따스한걸 원하는 것 같다.. 매일 포치타 꼬옥 껴안고 잤던거 보니ㅜ  남자들은 죽어도 돼! 상관안해! 하는거 보니 (말로만 그러고 다 구하긴 했음) 성장 과정에서 자신에게 빚만 남기고 간 아버지, 자기를 이용해먹은 야쿠자들 등등 남자들에게 고생당한 기억이 안좋게 남아있는 듯..  이렇게 보니 주인공의 여성편력엔 오이디푸스 콤플렉스와 관련이 있어보인다 굳이 어머니라고 찝어 나오진 않지만 주인공과 여성캐릭터의 관계성엔 모성의 느낌이 있음 여성들에겐 고분고분 수동의 태도를 보이는 것 부터 주인공은 여성들의 주문이나 제안(이라고 하지만 거의 명령에 가까움)에 아주 성실하게 따르는 모습.. 그리고 모성애의 대표적 상징이 '가슴' 이고 그것에 집착하는 모습....  굳이 주인공의 기행을 해석해본 것 뿐이지 정신병은 맞다고 본다 ㅋㅋㅋㅋㅋㅋㅋㅋ 하지만 말잘듣는거랑 본업 잘하는거 보면 밉지않은 미친놈  그나저나 포치타 너무 귀엽다.... 우리 고양이도 포치타처럼 똥글똥글 말랑말랑 폭신폭신한데 안으면 진짜 기분 좋다. 생각난 김에 안아야지",774,0.5
watcha,체인소 맨,Chainsaw Man,2022,서주원,정말로 나사가 빠진 주인공 덴지의 어디로 튈지 모르는 발상과 소소한 행복과 꿈을 이루기 위한 하루하루 모든 캐릭터들이 매력이 철철 흐르는거 같다.,81,3.5
watcha,체인소 맨,Chainsaw Man,2022,Vimzen,원작 특유의 정적인 그림체를 그대로 영상에 옮기려다 보니 전반적으로 느릿하게 연출된 듯하다. 움직이는 톱날과 전선을 매번 그리기 어려운 건 이해하지만 지나친 CG의 활용은 이질감이 들게 해 아쉬움이 남았다.,115,0.5
watcha,체인소 맨,Chainsaw Man,2022,곤날,최악 저질스러워,8,5.0
watcha,체인소 맨,Chainsaw Man,2022,YSol,대체 언제까지 가슴타령 할꺼임? 19금이고 나발이고 걍 정색빨고 스킵중 액션이나 스토리 캐릭터는 좋은데 더럽다 정말  그리고 우리 애 좀 살려내,80,4.0
watcha,체인소 맨,Chainsaw Man,2022,뚱땡이소시지,우리 뚱땡이소시지졸귀탱세상의제왕주황돼지 포치타 살려내라.,31,3.5
watcha,체인소 맨,Chainsaw Man,2022,홍상수,"귀칼, 주술회전..? 체인쏘맨이 다줘팬다 이거야 ㅋㅋㅋ ㅈㄴ 내스타일이다 개재밌다 디자인 ㅆㅅㅌㅊ",54,5.0
watcha,체인소 맨,Chainsaw Man,2022,미지의세계,갈수록 잼있어지는 영화같은 애니 다소 더러울 수 있으니 #주의요망 이건 영화로 나올거 같은데 아니 넥플릭스는  완결은 왜 없냐고 ,72,4.0
watcha,체인소 맨,Chainsaw Man,2022,라이너스,"단짠단짠 본능적인 맛으로 생존을 위해… 변신하고, 질주한다.",33,4.5
