site,title,title_en,year,reviewer,review,review_length,rating
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,으음,시즌 2를 노리고 만든 거 같은데... 너무 구림 사회 비판용 작품인 거 같다만 너무 겉핥기 식으로 풍자를 하니 깊이도 없고 재미도 없고 감동도 없음 대사도 올드하고 연출도 올드하고 여자 캐릭터를 쓰는 방식도 참...ㅎ 쓸데없는 서사를 부여하기 바빠서 그런지 그냥 드라마판 cj 감성을 보는 느낌이었음 옛 시대적 감성을 감추기 위해서 캐스팅도 세트장도 돈 많이 쓴 느낌이던데 그래서 더 이질감 들고 별로였음 내용도 예상가게 너무 뻔했고 기대 많이 했는데 본편보다 예고편이 더 재밌던 거 같음,274,2.0
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,irene,세상에서 가장 젊었던 내 9시간 돌려줘,21,0.5
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,윤제아빠,창조적이고 창의적이진 못하나 수준급이고 현대적으로 보인다. . . #이감독은지독히상업적이다 #넷플릭스와궁합이잘맞는다 #남한산성과수상한그녀에서 #보여진장점이다녹아들었다 #좋은미장센이었지만아쉽다 #세련되긴해도아름답진않다,120,3.5
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,시영시,그나마 영화로 만들었으면 더 나았을 것 같다. 뭐랄까 2시간으로도 충분할 것 같은 걸 9화 분량으로 만드니까 갈수록 늘어지는 느낌 ...? 기억 나는 건 그냥 알록달록한 색감 그리고 까메오 정도...,111,3.0
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,묵자,"한 줄 요약: 오징어 망겜. 9화 끝까지 다 봤습니다. 여러분이 1-2화에서 예측할 수 있는 반전, 결말 모두 그대로 전개됩니다. 늘어지는 긴장과 무의미한 반전, 쓸데없는 클리셰 모두 끝까지 우리를 괴롭히고요. 5화부터 반쯤 넘기며 보았고, 7화부터 최악을 1분 1초 단위로 갱신합니다. 인물들 스토리는 다 스킵하며 보게 되고, 기가 차는 전개도 후반부에 많음. 어정쩡하게 사회 비판을 하려던건지 말미에는 교훈도 주려고 해서 정말 정말 정말 무궁화 꽃에 총맞아 죽는 것보다도 끔찍합니다. 오징어망겜 볼 시간에 제발 다른 작품 봐주세요!",299,1.5
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,ㅅㅇ,스포일러가 있어요!!보기,13,0.5
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,노진우,"괜찮은데 평이 짜네 모두들  나쁘지않았고 이런 시도가 넷플릭스가 아니었다면 불가능했을텐데 좋은 시도이고, 시슨2에서는 좀 더 다듬어진 모습이었으면 좋겠다",85,3.5
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,JIGSAW,아직 초반부까지만감상했지만 한국에서 이런류의 매니악한장르물이 퀄리티 좋게 뽑힌거만으로 충분히 의미가있다 생각한다 이정재 연기도 훌륭하고 지금까진 만족 뒤로갈수록 고어한 데스게임이 다양하게나오길 기대해본다  +사실 첨에는 다양한 레퍼토리의 한국식 고어데스게임을 감상하고싶었는데 거의 총기로만 죽이고 있으니까 데스게임 장르특유의 볼거리가 부족하고 게임선정과 구성이 밋밋해서 좀아쉽다고 느껴지긴했으나 오히려 이점이 강점이되어 게임은 쉽게 이해한다음 인물들의 감정에 집중하게되고 더높은 공감대를 형성해서 세계적으로 크게성공한게 아닌가싶다 그리고 혹평하는쪽도 이해가지만 넷플에서 킬링타임용으로 충분히 볼만한편인데 지나치게 까이는감이있네 만약 후속작이 나온다면 단점들을 보완해서 나오길바라며 후한점수를줌,387,4.5
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,다솜땅,"넷플릭스가 넷플릭스 했다.. 물론, 한국형으로…. 이질적인 면이 가득했는데. 넷플스타일이었구나…;;; 배틀로얄이나 라이어게임같은 잔인함이 난무했는데, 인간적인 철학까지 덤으로 담았으니…, 잔인함이, 비인간적임이 난무하여 오히려 마음속의 반감이 들게 만들었다. 더 인간다워야 하고 더 돈에 얽매이지 않으려.., 하지만 너무 비인간적이고 돈돈돈 하는 세상을 살아가면서.. 어디서부터 인간적이고 어디까지가 비인간적인것인지 분간이 가지 않는다. 말로는 복지, 사람우선이라며서 이미 자살률 세계1위를 찍고 있는 한국이다. 죽는원인에 아마 다섯손가락 안쪽이 자살일것인데... 자살은 뉴스에서도 많이 다루지 않는다. 연예인 자살만 방송에 나올뿐... 오징어게임이란 정겨움과 인간적이지 않은 게임앞에 우리는 모두 무릎을 꿇어가고 있다. #21.9.20 (136)",418,4.0
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,쏠h,대사랑 캐릭터 설정 다 모두 구시대적이고 평면적임. 외국인 노동자랑 새터민 묘사 기분나쁠정도로 스테레오타입에 쩔어있음. 웬만하면 중반까진 보고 평을 남길텐데 너무 최악이라 그냥 1화보고 탈주함. 배우들 연기는 어색하고 주인공 엄마가 딸 찾아야하지 않겠냐고 하는 것도 불쾌했음…사람들 죽는 장면이 나치시대를 떠올리게 하는데 그거에 대한 비판이 잘 담겼는지는 모르겠고 포르노마냥 보여줌. 헝거게임만큼 긴장감 넘치지도 않고…잔인함의 명분이 없음.,246,0.5
